,Date Collected,Fandom,Count
0,2012-02-07,07-Ghost,0.0
1,2012-02-07,91 Days (Anime),0.0
2,2012-02-07,A3! (Anime),0.0
3,2012-02-07,ACCA13区監察課 | ACCA 13-ku Kansatsuka,0.0
4,2012-02-07,アグレッシブ烈子 | Aggressive Retsuko | Aggretsuko (Anime),0.0
5,2012-02-07,ああっ女神さまっ | Ah! Megami-sama! | Oh My Goddess!,0.0
6,2012-02-07,間の楔 | Ai no Kusabi (Anime),0.0
7,2012-02-07,アイカツ! アイドルカツドウ! | Aikatsu!,0.0
8,2012-02-07,Air Gear,24.0
9,2012-02-07,亜人 - 三浦追儺 & 桜井画門 | Ajin - Miura Tsuina & Sakurai Gamon (Anime & Manga),0.0
10,2012-02-07,赤髪の白雪姫 | Akagami no Shirayukihime | Snow White with the Red Hair (Anime & Manga),0.0
11,2012-02-07,アカギ | Akagi,0.0
12,2012-02-07,Akame ga Kill! (Anime & Manga),0.0
13,2012-02-07,Akatsuki no Yona | Yona of the Dawn,0.0
14,2012-02-07,Akira (Anime & Manga),0.0
15,2012-02-07,Akudama Drive (Anime),0.0
16,2012-02-07,悪魔のリドル | Akuma no Riddle | Riddle Story of Devil,0.0
17,2012-02-07,Aldnoah.Zero (Anime & Manga),0.0
18,2012-02-07,ALL OUT!! - Amase Shiori (Anime & Manga),0.0
19,2012-02-07,Angel Beats!,0.0
20,2012-02-07,Ao no Exorcist | Blue Exorcist,0.0
21,2012-02-07,青春×機関銃 | Aoharu x Kikanjuu | Aoharu x Machinegun,0.0
22,2012-02-07,Arslan Senki | Heroic Legend of Arslan,0.0
23,2012-02-07,Assassination Classroom,0.0
24,2012-02-07,Azumanga Daioh,0.0
25,2012-02-07,Azur Lane (Anime),0.0
26,2012-02-07,B-PROJECT 鼓動＊アンビシャス | B-PROJECT: Kodou Ambitious,0.0
27,2012-02-07,B: The Beginning (Anime),0.0
28,2012-02-07,Baccano!,155.0
29,2012-02-07,Bakemonogatari,0.0
30,2012-02-07,グラップラー刃牙 | Baki the Grappler,0.0
31,2012-02-07,Bakugan Battle Brawlers,0.0
32,2012-02-07,バクテン!! | Bakuten!! | Backflip!! (Anime),0.0
33,2012-02-07,Banana Fish (Anime & Manga),0.0
34,2012-02-07,BanG Dream! (Anime),0.0
35,2012-02-07,ばらかもん | Barakamon,0.0
36,2012-02-07,薔薇王の葬列 | Baraou no Souretsu | Requiem of the Rose King (Manga),0.0
37,2012-02-07,ビースターズ | BEASTARS,0.0
38,2012-02-07,Beelzebub (Anime & Manga),0.0
39,2012-02-07,Berserk (Anime & Manga),0.0
40,2012-02-07,Beyblade,0.0
41,2012-02-07,Bakuten Shoot Beyblade,0.0
42,2012-02-07,ベイブレードバースト | Beyblade Burst (Anime),0.0
43,2012-02-07,Metal Fight Beyblade | Beyblade Metal Saga,0.0
44,2012-02-07,美男高校地球防衛部HAPPY KISS! | Binan Koukou Chikyuu Bouei-bu Happy Kiss!,0.0
45,2012-02-07,美男高校地球防衛部LOVE! | Binan Koukou Chikyuu Bouei-bu LOVE!,0.0
46,2012-02-07,BIRDMEN - 田辺イエロウ | Tanabe Yellow,0.0
47,2012-02-07,Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,370.0
48,2012-02-07,Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Anime & Manga),0.0
49,2012-02-07,Black Cat (Anime & Manga),0.0
50,2012-02-07,Black Clover - Tabata Yuki (Anime & Manga),0.0
51,2012-02-07,Black Lagoon (Anime & Manga),0.0
52,2012-02-07,BlazBlue,0.0
53,2012-02-07,Bleach (Anime & Manga),1087.0
54,2012-02-07,Blood+ (Anime & Manga),0.0
55,2012-02-07,Blue Lock (Manga),0.0
56,2012-02-07,Blue Period (Anime),0.0
57,2012-02-07,Blue Period (Manga),0.0
58,2012-02-07,BNA: Brand New Animal (Anime),0.0
59,2012-02-07,僕だけがいない街 | Boku dake ga Inai Machi | ERASED (Anime & Manga),0.0
60,2012-02-07,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,0.0
61,2012-02-07,Boruto: Naruto Next Generations,0.0
62,2012-02-07,Brave Police J-Decker,0.0
63,2012-02-07,Brothers Conflict,0.0
64,2012-02-07,文豪ストレイドッグス | Bungou Stray Dogs,0.0
65,2012-02-07,Cain Saga and Godchild,0.0
66,2012-02-07,Captain Harlock,0.0
67,2012-02-07,Captain Tsubasa (Anime & Manga),0.0
68,2012-02-07,Cardcaptor Sakura,119.0
69,2012-02-07,Cardfight!! Vanguard,0.0
70,2012-02-07,Carole & Tuesday (Anime),0.0
71,2012-02-07,Chainsaw Man (Anime),0.0
72,2012-02-07,Chainsaw Man (Manga),0.0
73,2012-02-07,30歳まで童貞だと魔法使いになれるらしい | Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?! (Manga),0.0
74,2012-02-07,ちはやふる | Chihayafuru (Anime & Manga),0.0
75,2012-02-07,Chobits,0.0
76,2012-02-07,citrus - サブロウタ | citrus - Saburouta,0.0
77,2012-02-07,CLAMP - Works,0.0
78,2012-02-07,Clannad,0.0
79,2012-02-07,Classicaloid (Anime),0.0
80,2012-02-07,Claymore (Anime & Manga),0.0
81,2012-02-07,Clover - CLAMP,0.0
82,2012-02-07,Code Geass,0.0
83,2012-02-07,Code Name: Sailor V,0.0
84,2012-02-07,告白実行委員会 | Confession Executive Committee,0.0
85,2012-02-07,The Count of Monte Cristo - All Media Types,0.0
86,2012-02-07,Cowboy Bebop (Anime),0.0
87,2012-02-07,Cyberpunk: Edgerunners (Anime),0.0
88,2012-02-07,Cyborg 009,0.0
89,2012-02-07,D.Gray-man,179.0
90,2012-02-07,D.N. Angel,0.0
91,2012-02-07,D4DJ First Mix (Anime),0.0
92,2012-02-07,ダイヤのA | Daiya no A | Ace of Diamond,0.0
93,2012-02-07,Dance with Devils (Anime),0.0
94,2012-02-07,Dangan Ronpa - All Media Types,0.0
95,2012-02-07,Dangan Ronpa 3: The End of 希望ヶ峰学園 | The End of Kibougamine Gakuen | End of Hope's Peak High School,0.0
96,2012-02-07,Dangan Ronpa: Trigger Happy Havoc,0.0
97,2012-02-07,ダンジョンに出会いを求めるのは間違っているだろうか | DanMachi | Is It Wrong to Try to Pick Up Girls in a Dungeon? (Anime),0.0
98,2012-02-07,Darker Than Black,0.0
99,2012-02-07,DARLING In The FRANXX (Anime),0.0
100,2012-02-07,Date A Live,0.0
101,2012-02-07,DAYS (Anime & Manga),0.0
102,2012-02-07,Deadman Wonderland,0.0
103,2012-02-07,Death Note (Anime & Manga),0.0
104,2012-02-07,Death Note & Related Fandoms,618.0
105,2012-02-07,Death Note: Another Note,0.0
106,2012-02-07,Death Parade (Anime),0.0
107,2012-02-07,Demashitaa! Powerpuff Girls Z,0.0
108,2012-02-07,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),0.0
109,2012-02-07,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga),0.0
110,2012-02-07,Densetsu no Yuusha no Densetsu | The Legend of the Legendary Heroes,0.0
111,2012-02-07,名探偵コナン | Detective Conan | Case Closed,0.0
112,2012-02-07,Devil May Cry,0.0
113,2012-02-07,Devilman (Anime & Manga),0.0
114,2012-02-07,DEVILMAN crybaby (Anime),0.0
115,2012-02-07,Diabolik Lovers,0.0
116,2012-02-07,Digimon - All Media Types,126.0
117,2012-02-07,Digimon Adventure,0.0
118,2012-02-07,Digimon Adventure tri.,0.0
119,2012-02-07,Digimon Adventure Zero Two | Digimon Adventure 02,0.0
120,2012-02-07,Digimon Frontier,0.0
121,2012-02-07,Digimon Savers | Digimon Data Squad,0.0
122,2012-02-07,Digimon Tamers,0.0
123,2012-02-07,Digimon Universe: Appli Monsters,0.0
124,2012-02-07,Digimon Xros Wars | Digimon Fusion,0.0
125,2012-02-07,DOGS (Manga),0.0
126,2012-02-07,ドキドキ！プリキュア | DokiDoki! PreCure,0.0
127,2012-02-07,Dorohedoro,0.0
128,2012-02-07,Dororo (Anime 2019),0.0
129,2012-02-07,Dr. STONE (Anime),0.0
130,2012-02-07,Dr. STONE (Manga),0.0
131,2012-02-07,Dragon Ball,0.0
132,2012-02-07,DRAMAtical Murder - All Media Types,0.0
133,2012-02-07,Durarara!!,113.0
