,Date Collected,Fandom,Count
0,2012-01-30,101 Dalmatian Street (Cartoon),0.0
1,2012-01-30,19天 - Old先 | 19 Days - Old Xian,0.0
2,2012-01-30,6teen (Cartoon),0.0
3,2012-01-30,Adventure Time,0.0
4,2012-01-30,The Adventures of Jimmy Neutron: Boy Genius,0.0
5,2012-01-30,The Adventures of Sam & Max: Freelance Police (Cartoon),0.0
6,2012-01-30,Adventures of the Galaxy Rangers,0.0
7,2012-01-30,Aladdin (Cartoon 1994),0.0
8,2012-01-30,All New X-Factor (Marvel Comics),0.0
9,2012-01-30,万圣街 | All Saints Street (Cartoon),0.0
10,2012-01-30,Alvin and the Chipmunks - All Media Types,0.0
11,2012-01-30,The Amazing World of Gumball,0.0
12,2012-01-30,American Dad!,0.0
13,2012-01-30,American Dragon: Jake Long,0.0
14,2012-01-30,Amphibia (Cartoon),0.0
15,2012-01-30,Angry Birds - All Media Types,0.0
16,2012-01-30,Animaniacs,0.0
17,2012-01-30,凹凸世界 | AOTU Shijie | AOTU World,0.0
18,2012-01-30,Aquaman (Comics),0.0
19,2012-01-30,Arcane: League of Legends (Cartoon 2021),0.0
20,2012-01-30,Archer (Cartoon),0.0
21,2012-01-30,Archie Comics,0.0
22,2012-01-30,Archie Comics & Related Fandoms,0.0
23,2012-01-30,Arthur (Cartoon),0.0
24,2012-01-30,Askewniverse,0.0
25,2012-01-30,Assassin's Creed - All Media Types,0.0
26,2012-01-30,Astérix le Gaulois | Asterix the Gaul & Related Fandoms,0.0
27,2012-01-30,The Authority (DC Comics),0.0
28,2012-01-30,Ava's Demon,0.0
29,2012-01-30,Avatar: Legend of Korra,0.0
30,2012-01-30,Avatar: The Last Airbender,951.0
31,2012-01-30,The Avengers - Ambiguous Fandom,1151.0
32,2012-01-30,Avengers (Comics),283.0
33,2012-01-30,The Avengers (Marvel) - All Media Types,1014.0
34,2012-01-30,Avengers Assemble (Cartoon),0.0
35,2012-01-30,Avengers: Earth's Mightiest Heroes,0.0
36,2012-01-30,Baby-Sitters Club (Graphic Novels),0.0
37,2012-01-30,Batgirl (Comics),0.0
38,2012-01-30,Batman - All Media Types,1328.0
39,2012-01-30,The Batman (Cartoon 2004),0.0
40,2012-01-30,Batman (Comics),654.0
41,2012-01-30,Batman and Robin (Comics),0.0
42,2012-01-30,Batman and the Signal (Comics),0.0
43,2012-01-30,Batman Beyond,0.0
44,2012-01-30,Batman: Arkham - All Media Types,0.0
45,2012-01-30,Batman: Arkham Knight Genesis (Comics),0.0
46,2012-01-30,Batman: The Animated Series,115.0
47,2012-01-30,Batman: The Brave and the Bold,0.0
48,2012-01-30,Batman: Under the Red Hood (2010),0.0
49,2012-01-30,Batman: Wayne Family Adventures (Webcomic),0.0
50,2012-01-30,Battle For Dream Island (Web Series),0.0
51,2012-01-30,Battle of the Planets (Cartoon),0.0
52,2012-01-30,Batwoman (Comics),0.0
53,2012-01-30,Beavis and Butt-head,0.0
54,2012-01-30,Beetlejuice (Cartoon 1989),0.0
55,2012-01-30,Ben 10 Series,0.0
56,2012-01-30,Big Hero 6: The Series (Cartoon),0.0
57,2012-01-30,Big Mouth (Cartoon),0.0
58,2012-01-30,Biker Mice From Mars,0.0
59,2012-01-30,Birds of Prey (Comic),0.0
60,2012-01-30,Black Canary (Comics),0.0
61,2012-01-30,Black Panther (Comics),0.0
62,2012-01-30,Black Widow (Comics),0.0
63,2012-01-30,Blade (Movies 1998 - 2004),0.0
64,2012-01-30,Blake et Mortimer | Blake and Mortimer,0.0
65,2012-01-30,Blaze and the Monster Machines,0.0
66,2012-01-30,Blood of Zeus (Cartoon),0.0
67,2012-01-30,Blue Beetle (Comics),0.0
68,2012-01-30,Bluey (Cartoon 2018),0.0
69,2012-01-30,Bob's Burgers (Cartoon),0.0
70,2012-01-30,BoBoiBoy (Cartoon),0.0
71,2012-01-30,BoJack Horseman,0.0
72,2012-01-30,The Boondocks,0.0
73,2012-01-30,Booster Gold (Comics),0.0
74,2012-01-30,The Borrowers - All Media Types,0.0
75,2012-01-30,The Boys (Comics),0.0
76,2012-01-30,Buffy the Vampire Slayer (Comics 1998),147.0
77,2012-01-30,Buzz Lightyear of Star Command (Cartoon),0.0
78,2012-01-30,Cable and Deadpool,0.0
79,2012-01-30,Calvin & Hobbes,0.0
80,2012-01-30,Camp Camp (Web Series),0.0
81,2012-01-30,Captain America - All Media Types,0.0
82,2012-01-30,Captain America (Comics),611.0
83,2012-01-30,Captain Marvel (Marvel Comics),0.0
84,2012-01-30,Captain Planet and the Planeteers,0.0
85,2012-01-30,Captain Scarlet - All Media Types,0.0
86,2012-01-30,Care Bears,0.0
87,2012-01-30,Carmen Sandiego (Cartoon 2019),0.0
88,2012-01-30,Castlevania (Cartoon 2017-2021),0.0
89,2012-01-30,Catwoman (Comics),0.0
90,2012-01-30,Centaurworld (Cartoon 2021),0.0
91,2012-01-30,Champions (Comics),0.0
92,2012-01-30,Chaotic (Cartoon),0.0
93,2012-01-30,삼국지톡 | The Chat of the Three Kingdoms (Webcomic),0.0
94,2012-01-30,Check Please! (Webcomic),0.0
95,2012-01-30,Clone High,0.0
96,2012-01-30,Code Lyoko,0.0
97,2012-01-30,Codename: Kids Next Door,7.0
98,2012-01-30,Constantine (Comic),0.0
99,2012-01-30,Constantine: The Hellblazer (Comics),0.0
100,2012-01-30,Count Duckula,0.0
101,2012-01-30,Courage the Cowardly Dog,0.0
102,2012-01-30,Craig of the Creek (Cartoon),0.0
103,2012-01-30,The Crow - All Media Types,0.0
104,2012-01-30,The Cuphead Show! (Cartoon),0.0
105,2012-01-30,Cursed Princess Club (Webcomic),0.0
106,2012-01-30,Dan Vs.,0.0
107,2012-01-30,Danger Mouse (Cartoon 1981),0.0
108,2012-01-30,Danger Mouse (Cartoon 2015),0.0
109,2012-01-30,Danny Phantom,0.0
110,2012-01-30,Daredevil (Comics),0.0
111,2012-01-30,Daria (Cartoon),0.0
112,2012-01-30,Dark Avengers (Comic),0.0
113,2012-01-30,Dark Wolverine (Comics),0.0
114,2012-01-30,Darkwing Duck (Cartoon 1991),0.0
115,2012-01-30,DC Animated Universe (Timmverse),0.0
116,2012-01-30,DC Elseworlds,0.0
117,2012-01-30,DC Extended Universe,0.0
118,2012-01-30,DC Super Hero Girls (Cartoon 2019),0.0
119,2012-01-30,DCeased (DC Comics),0.0
120,2012-01-30,DCU,5350.0
121,2012-01-30,DCU (Comics),2963.0
122,2012-01-30,Dead End: Paranormal Park (Cartoon),0.0
123,2012-01-30,Deadpool - All Media Types,0.0
124,2012-01-30,Deadpool (Comics),0.0
125,2012-01-30,Deathstroke the Terminator (Comics),0.0
126,2012-01-30,Demashitaa! Powerpuff Girls Z,0.0
127,2012-01-30,Бесобой | Demonslayer,0.0
128,2012-01-30,Detective Comics (Comics),0.0
129,2012-01-30,Deus Ex: Human Revolution,0.0
130,2012-01-30,Dexter's Laboratory,0.0
131,2012-01-30,Disenchantment (Cartoon 2018),0.0
132,2012-01-30,Disney Duck Universe,0.0
133,2012-01-30,Disney Ducks (Comics),0.0
134,2012-01-30,Disney Theatrical Animated Universe,590.0
135,2012-01-30,Doctor Strange (Comics),0.0
136,2012-01-30,Doctor Who: Scream of the Shalka,0.0
137,2012-01-30,Donkey Kong Country,0.0
138,2012-01-30,Dora the Explorer (Cartoon),0.0
139,2012-01-30,Dragon Age - All Media Types,0.0
140,2012-01-30,Dragon Age (Comics),0.0
141,2012-01-30,The Dragon Prince (Cartoon),0.0
142,2012-01-30,DreamWorks Dragons (Cartoon),0.0
143,2012-01-30,DuckTales (Cartoon 1987),0.0
144,2012-01-30,DuckTales (Cartoon 2017),0.0
145,2012-01-30,Dude That's My Ghost!,0.0
146,2012-01-30,Dungeons and Dragons (Cartoon),0.0
147,2012-01-30,Earth 2 - Ambiguous Fandom,0.0
148,2012-01-30,Earth-12041 (Marvel),0.0
149,2012-01-30,Ed Edd n Eddy,0.0
150,2012-01-30,Eddsworld - All Media Types,0.0
151,2012-01-30,El Goonish Shive,0.0
152,2012-01-30,Eleceed (Webcomic),0.0
153,2012-01-30,Elena of Avalor (Cartoon),0.0
154,2012-01-30,Elfquest,0.0
155,2012-01-30,Elsewhere University (Webcomic),0.0
156,2012-01-30,Ender's Game - All Media Types,0.0
157,2012-01-30,엔네아드 ENNEAD (Webcomic),0.0
158,2012-01-30,Epithet Erased (Cartoon),0.0
159,2012-01-30,Evil Dead - All Media Types,0.0
160,2012-01-30,Excalibur (Comic),0.0
161,2012-01-30,Экслибриум | Exlibrium (Comics),0.0
162,2012-01-30,Fables - Willingham,0.0
163,2012-01-30,Fairly OddParents,0.0
164,2012-01-30,Family Guy (Cartoon),0.0
165,2012-01-30,Fanboy & Chum Chum (Cartoon),0.0
166,2012-01-30,Fantastic Four,135.0
167,2012-01-30,Fantastic Four (Comicverse),0.0
168,2012-01-30,Fence (Comics),0.0
169,2012-01-30,Final Space (Cartoon),0.0
170,2012-01-30,The Flash - All Media Types,0.0
171,2012-01-30,The Flash (Comics),0.0
172,2012-01-30,Forever Evil (Comics),0.0
173,2012-01-30,Foster's Home For Imaginary Friends,0.0
174,2012-01-30,Fox's Peter Pan & The Pirates (Cartoon),0.0
175,2012-01-30,Fullmetal Alchemist: Brotherhood & Manga,0.0
176,2012-01-30,Futurama,0.0
177,2012-01-30,G.I. Joe - All Media Types,0.0
178,2012-01-30,G.I. Joe (Cartoon),0.0
179,2012-01-30,더 게이머 | The Gamer (Webcomic),0.0
180,2012-01-30,Garfield - All Media Types,0.0
181,2012-01-30,Gargoyles (Cartoon),0.0
182,2012-01-30,Generation X (Comic),0.0
183,2012-01-30,Generator Rex,0.0
184,2012-01-30,The Ghost and Molly McGee (Cartoon),0.0
185,2012-01-30,Ghost Rider (Comics),0.0
186,2012-01-30,Ghostbusters - All Media Types,165.0
187,2012-01-30,Ghostbusters (Comics),0.0
188,2012-01-30,Girl Genius (Webcomic),0.0
189,2012-01-30,The Glass Scientists (Webcomic),0.0
190,2012-01-30,Glitch Techs (Cartoon),0.0
191,2012-01-30,Godzilla - All Media Types,0.0
192,2012-01-30,Goof Troop (Cartoon),0.0
193,2012-01-30,Gotham Academy (Comics),0.0
194,2012-01-30,Gotham City Sirens (Comics),0.0
195,2012-01-30,Gravity Falls,0.0
196,2012-01-30,Grayson (Comics),0.0
197,2012-01-30,Green Arrow (Comics),0.0
198,2012-01-30,Green Eggs and Ham (Cartoon),0.0
199,2012-01-30,Green Hornet - All Media Types,0.0
200,2012-01-30,Green Lantern - All Media Types,0.0
201,2012-01-30,Green Lantern (Comics),0.0
202,2012-01-30,Green Lantern Corps (Comics),0.0
203,2012-01-30,Green Lantern: The Animated Series,0.0
204,2012-01-30,Grim Adventures of Billy & Mandy,0.0
205,2012-01-30,Guardians of the Galaxy (Cartoon),0.0
206,2012-01-30,Guardians of the Galaxy (Comics),0.0
207,2012-01-30,Gundam 00,0.0
208,2012-01-30,Gunnerkrigg Court,0.0
209,2012-01-30,Hanna Is Not A Boy's Name,0.0
210,2012-01-30,开心宝贝 | Happy Heroes (Cartoon),0.0
211,2012-01-30,Happy Tree Friends,0.0
212,2012-01-30,Harley Quinn (Cartoon 2019),0.0
213,2012-01-30,Harley Quinn (Comics),0.0
214,2012-01-30,Harvey Street Kids (Cartoon),0.0
215,2012-01-30,Hawkeye (Comics),0.0
216,2012-01-30,He-Man and the Masters of the Universe,0.0
